Verify Website,Find Website HH,Confirm Website HH,Complete,Percent Complete
2015-11-21 20:08:42.453540,38,0,0,0,0.0
2015-11-21 20:18:54.063575,38,0,0,0,0.0
2015-11-21 20:29:01.859197,38,0,0,0,0.0
2015-11-21 20:35:27.584459,38,0,0,0,0.0
2015-11-21 20:45:34.920884,38,0,0,0,0.0
2015-11-21 20:55:42.235679,38,0,0,0,0.0
2015-11-21 21:05:49.754616,38,0,0,0,0.0
2015-11-21 21:15:56.859329,38,0,0,0,0.0
2015-11-21 21:26:03.730829,38,0,0,0,0.0
2015-11-21 21:36:09.888429,38,0,0,0,0.0
2015-11-21 21:46:16.323795,38,0,0,0,0.0
2015-11-21 21:56:33.586198,38,0,0,0,0.0
2015-11-21 21:58:21.717897,31,6,0,0,0.0
2015-11-21 22:13:45.956324,31,6,0,0,0.0
2015-11-21 22:24:05.005833,26,10,1,0,0.0
2015-11-21 22:34:24.737913,18,17,1,0,0.0
2015-11-21 22:44:38.821563,12,19,3,1,0.0285714285714
2015-11-21 22:54:52.040635,10,19,5,1,0.0285714285714
2015-11-21 23:05:08.214049,9,17,8,1,0.0285714285714
2015-11-21 23:15:26.796942,7,16,10,2,0.0588235294118
2015-11-21 23:25:45.856624,6,15,10,3,0.0909090909091
2015-11-22 09:19:41.992817,4,5,5,3,0.176470588235
2015-11-22 09:29:45.223001,4,5,5,3,0.176470588235
Verify Website,Find Website HH,Confirm Website HH,Complete,Percent Complete
Verify Website,Find Website HH,Confirm Website HH,Complete,Percent Complete
2015-11-22 09:46:55.932139,11,0,0,0,0.0
2015-11-22 09:57:07.502412,11,0,0,0,0.0
2015-11-22 10:07:13.676685,5,6,0,0,0.0
2015-11-22 10:17:23.329427,3,8,0,0,0.0
2015-11-22 10:27:30.086505,1,8,2,0,0.0
2015-11-22 10:37:34.617340,1,8,2,0,0.0
2015-11-22 10:47:36.674142,1,8,0,2,0.181818181818
2015-11-22 10:57:39.014303,1,8,0,2,0.181818181818
2015-11-22 11:07:42.096776,1,8,0,2,0.181818181818
2015-11-22 11:17:44.067053,1,8,0,2,0.181818181818
2015-11-22 11:27:50.188978,1,8,0,2,0.285714285714
2015-11-22 11:37:53.837130,1,4,0,2,0.4
2015-11-22 11:47:55.069875,1,2,0,2,0.4
2015-11-22 11:57:57.988854,1,2,0,2,0.4
2015-11-22 12:08:00.855861,1,2,0,2,0.4
2015-11-22 12:18:02.528101,1,2,0,2,0.4
