ID,Name,Categories,,,,,,Neighborhoods
2515,Creme Restaurant & Bar,American (New),,,,,,Columbia Heights
3080,DC Noodles,Thai,Asian Fusion,,,,,U Street Corridor
2444,Tortilla Coast,Tex-Mex,Bars,,,,,Capitol Hill
2670,Glen's Garden Market,Grocery,,,,,
2340,Himalayan Heritage,Indian,Himalayan/Nepalese,Ethnic Food,,,,Adams Morgan
2344,L'Enfant Café,Bars,French,Creperies,,,
3053,21st Amendment Bar & Grill,Bars,American (Traditional),,,,
2471,The Greene Turtle,Sports Bars,American (Traditional),Burgers,,,
2346,Lapis Afghan Bistro,Breakfast & Brunch,Afghan,,,,,Adams Morgan
2497,Zengo,Latin American,Asian Fusion,,,,,Chinatown
2789,Georgetown Piano Bar,Piano Bars,Music Venues,American (Traditional),,,,Georgetown
3063,Kitty O'Shea's DC,Pubs,Irish,Burgers,,,,Tenleytown
2546,The Black Rooster,Pubs,,,,,
2499,Atomic Billiards,Pool Halls,Bars,,,,,Cleveland Park
2943,DC Reynolds,Southern,Vegan,Vegetarian,,,,Park View
2638,Boqueria,Tapas Bars,Spanish,,,,
2981,Fire & Sage,American (Traditional),,,,,
2485,Momiji,Japanese,Sushi Bars,,,,,Chinatown
2351,Millie & Al's,Pizza,Dive Bars,,,,,Adams Morgan
2342,Jug & Table,Cocktail Bars,Wine Bars,,,,,Adams Morgan
2389,Simple Bar and Grill,American (Traditional),Sports Bars,,,,,Brightwood
2661,Level One,American (New),Breakfast & Brunch,Burgers,,,,Dupont Circle
2518,The Coupe,Diners,Breakfast & Brunch,,,,,Columbia Heights
2644,Circa,American (Traditional),Wine Bars,Pizza,,,,Dupont Circle
2323,Bossa,Lounges,,,,,,Adams Morgan
3172,Station Kitchen + Cocktails,American (Traditional),Coffee & Tea,Cocktail Bars,,,,Dupont Circle
2794,Orange Anchor,American (New),,,,,
3066,James Mackey's Public House,Pubs,Burgers,,,,
2725,Thomas Foolery,Bars,,,,,,Dupont Circle
2817,Thunder Burger & Bar,Burgers,Bars,,,,,Georgetown
2329,Bourbon,Bars,American (Traditional),,,,,Adams Morgan
2482,Royal Thai,Thai,,,,,,Chinatown
2967,Cedar,American (New),French,,,,,Penn Quarter
2968,Central Michel Richard,American (New),French,Bars,,,
3007,Penn Social,Bars,American (New),,,,,Penn Quarter
2738,Circle Bistro,American (New),Diners,Breakfast & Brunch,,,,West End
2741,District Commons,American (New),,,,,,Foggy Bottom
3257,Circa,American (New),Wine Bars,,,,,Clarendon
2721,St. Arnold's,Belgian,Pubs,American (Traditional),,,,Dupont Circle
2982,Mango Tree,Thai,,,,,
2934,DC Boathouse,American (Traditional),,,,,,Palisades
3015,Chez Billy,French,Bars,,,,
3025,BKK Cookshop,Thai,,,,,,Shaw
2512,Ripple,Wine Bars,American (New),,,,,Cleveland Park
3043,Banana Cafe and Piano Bar,Cuban,Puerto Rican,,,,,Capitol Hill
2368,Smoke & Barrel,Bars,American (New),Barbeque,,,,Adams Morgan
2511,Nanny O'Brien's Irish Pub,Pubs,Music Venues,Irish,,,
2647,Trio's Fox & Hounds,Lounges,,,,,,Dupont Circle
2726,Topaz Bar,Bars,Comedy Clubs,,,,,Dupont Circle
3044,The Chesapeake Room,American (New),American (Traditional),Southern,,,,Capitol Hill
2502,Cactus Cantina,Tex-Mex,Mexican,,,,
3020,Slash Run,Burgers,Breweries,,,,,Petworth
2816,Sequoia,Seafood,Steakhouses,American (New),,,
2831,Sprig & Sprout,Vietnamese,Sandwiches,Gluten-Free,,,,Glover Park
2926,Osteria Morini,Italian,,,,,,Navy Yard
2691,The Riggsby,American (Traditional),Breakfast & Brunch,,,,,Dupont Circle
2692,I Ricchi,Italian,,,,,,Dupont Circle
2510,Spices,Sushi Bars,Asian Fusion,Thai,,,,Cleveland Park
2732,Bertucci's,Pizza,Italian,,,,,Foggy Bottom
2811,Paper Moon Restaurant,Italian,Breakfast & Brunch,,,,,Georgetown
2386,Rustik Tavern,Mediterranean,Italian,,,,,Bloomingdale
2475,Graffiato,Pizza,Italian,Breakfast & Brunch,,,
2508,Paragon Thai,Thai,,,,,,Cleveland Park
2586,"Joe's Seafood, Prime Steak and Stone Crab",Seafood,Steakhouses,,,,
2458,Alba Osteria,Italian,,,,,
2851,H Street Country Club,Mexican,Bars,Mini Golf,,,
2633,Bub and Pop's,Sandwiches,,,,,,Dupont Circle
2970,Fogo de Chao,Brazilian,Steakhouses,Seafood,,,
2443,Thunder Grill,Mexican,Tex-Mex,,,,,NoMa
2347,Las Canteras,Latin American,Peruvian,,,,,Adams Morgan
2596,Maddy's Tap Room,Beer Bar,,,,,
2583,The Oval Room,American (New),,,,,
2907,The Pig,American (Traditional),,,,,,Logan Circle
2472,Del Campo,Peruvian,Argentine,Steakhouses,,,,Chinatown
2880,The Source by Wolfgang Puck,Asian Fusion,Dim Sum,Japanese,,,
2913,Haydee's Restaurant,Latin American,,,,,,Mount Pleasant
2356,Johnny Pistolas,Mexican,Bars,,,,,Adams Morgan
2434,Romeo & Juliet,Mediterranean,,,,,,Capitol Hill
2371,Southern Hospitality,Southern,American (New),,,,,Adams Morgan
2951,Austin Grill,Tex-Mex,Food Trucks,Mexican,,,,Penn Quarter
2343,El Tamarindo,Mexican,Salvadoran,,,,
2489,Wok and Roll,Karaoke,Lounges,Sushi Bars,,,,Chinatown
2535,Zeba,Bars,Dance Clubs,,,,,Columbia Heights
2950,Asia Nine,Asian Fusion,Japanese,Bars,,,
2841,Dangerously Delicious Pies,Desserts,,,,,,H Street Corridor/Atlas District/Near Northeast
2631,Beacon Bar and Grill,Bars,Breakfast & Brunch,American (Traditional),,,,Dupont Circle
2805,Mate,Bars,Sushi Bars,,,,
2574,Elephant & Castle,British,Pubs,,,,
2496,Sixth Engine,American (Traditional),,,,,
2959,Cafe Mozart,Delis,German,Cafes,,,
2367,Rumba Café,Latin American,Breakfast & Brunch,Tapas Bars,,,,Adams Morgan
3002,Occidental,Steakhouses,Seafood,,,,
3004,Oyamel Cocina Mexicana,Mexican,Tapas Bars,,,,,Penn Quarter
